title,author,first_publish_year,edition_count,subject,subject_people,subject_places,subject_times,language,series,number_of_pages_median,publisher,publish_place,ratings_count,ratings_average
Dubliners,James Joyce,1914.0,995,"Daily Express, West Briton, Three Graces, The Lass of Aughrim, alcoholism, confessionals, Jesuits, fiction, concerts, piano, Irish nationalism, Conservative Party, Roman Catholic Church, Pottery, Art pottery, Modern Art, Halloween, The Bohemian Girl, Mothers and daughters, Fathers and daughters, short story, Protestantism, Masturbation, corporal punishment, clergy, Catholic priests, fiction classics, classics, literary fiction, literary criticism, Social life and customs, City and town life, Facsimiles, Proofs (Printing), Family reunions, Textual Criticism, In literature, Dublin (Ireland) - Fiction, Manuscripts, Young men, Artists, Translations into Czech, English Short stories, English fiction, English Manuscripts, City and town life in literature, Irish authors, Short Stories, Classic Literature, Literature, open_syllabus_project, Manners and customs, Dublin (Ireland) -- Fiction, Domestic fiction, Domestic fiction.sh, Reading Level-Grade 12, Large type books, British and irish fiction (fictional works by one author), Dublin (ireland), fiction, Fiction, short stories (single author), Ireland, in literature, English literature, Joyce, james, 1882-1941, FICTION / Classics, FICTION / Literary, Lectures et morceaux choisis, Étude et enseignement, Anglais (langue), Kommentar, Fiction, family life, Fiction, family life, general, Dublin (Ireland)--Fiction, Ireland, fiction, Irish Novelists, Biography, Romanciers irlandais, Biographies, Romans, nouvelles, BIOGRAPHY & AUTOBIOGRAPHY, General, English language, textbooks for foreign speakers, Readers, Joyce, james , 1882-1941, City and town life--ireland--dublin--fiction, Pr6019.o9 .d8 1996, 823/.912, Artists' books, Long Now Manual for Civilization, Irish Short stories, Vie urbaine, Library, Personal copy, Cuentos ingleses","Farrington, Mr. Alleyne, Tom, Gabriel Conroy, Kate Morkan, Julia Morkan, Mary Jane Morkan, Lily, Gretta Conroy, Molly Ivors, Mr Browne, Freddy Malins, Mrs Malins, Bartell D'Arcy, Patrick Morkan, Michael Furey, Mr. Power, Tom Kernan, Power, M’Coy, Cunningham, Mr. Holohan, Mrs. Kearney, Kathleen Kearney, Mr. Fitzpatrick, Joe Hynes, Charles Stewart Parnell, Richard Tierney, Mat O'Connor, Old Jack, Edward VII, John Henchy, Bantam Lyons, Colgan, Crofton, James Duffy, Emily Sinico, Maria, Joe, Michael Balfe, Little Chandler, Ignatius Gallaher, Mrs. Mooney, Polly Mooney, Mr. Doran, Zack Bowen, Corley, Lenehan, Jimmy Doyle, Eveline Hill, Mangan's sister, boy, Mahony, Sir Walter Scott, James Flynn, Eliza Flynn, Nannie Flynn, Old Cotter, Aunt of the boy, Uncle of the boy, James Joyce (1882-1941), The boy, Eveline, Charles Ségouin, André Rivière, Villona, Clay, Joe Donnelly, Mr. Duffy, Mrs. Sinico, Mat O’Connor, Jack Power","Ireland, Galway, Jesuit church in Gardiner Street, Committee Room, Dublin, Chapelizod, Joe's house, bakery, Dublin (Ireland), Araby, North Richmond Street, Araby bazaar, Naas Road, North Wall, England, London","20th century, Ivy Day, Irish Revival","rus, eng, dut, ger, chi, ara, ita, spa, rum, kor, fre, tur, gle, por, vie, jpn, cze, heb",Letras universales No. 187,254.0,G. Richards,London,77,3.8701298701298703
The War of the Worlds,H. G. Wells,0.0,462,"Imaginary wars and battles, Juvenile fiction, Space warfare, Science Fiction & Fantasy, Fiction, Diseases, Martians, Invasions, Classic Literature, Open Library Staff Picks, open_syllabus_project, English Science fiction, Imaginary wars and battles in literature, Mars (Planet), Science fiction, Space vehicles, Earth, Romance Ingles, Fiction, science fiction, general, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Children's fiction, Examinations, Vocabulary, SAT (Educational test), English language, Study guides, Fiction, action & adventure, Life on other planets, War stories, Extraterrestrial beings, fiction, Outer space, fiction, Literature, English literature, Seres extraterrestres, Extraterrestrial beings, Ficcion, Guerra espacial, Fiction, science fiction, action & adventure, Human-alien encounters, Comic books, strips, Wells, h. g. (herbert george), 1866-1946, Adaptations, Graphic novels, Aladdin (legendary character), fiction, War, fiction, Adventure and adventurers, fiction, Guerras imaginarias, Novela, Guerra, Life on other planets, fiction, Fiction, war & military, Imaginary wars and battles -- Fiction, Space warfare -- Fiction, Mars (Planet) -- Fiction, Imaginary wars and battles--fiction, Space warfare--fiction, Pr5774 .w3 2005dx, 823.912, Long Now Manual for Civilization",H. G. Wells (1866-1946),,,"dan, ukr, dut, spa, ita, mon, und, por, chi, eng, ger, fre",The Masterpieces of Science Fiction,207.0,Independently published,,150,3.7933333333333334
Kim,Rudyard Kipling,1901.0,934,"Fiction, Irish, Lamas, Irish in fiction, Orphans, Boys in fiction, Boys, Lamas in fiction, Orphans in fiction, India in fiction, East and West, East and West in fiction, Juvenile fiction, Classic Literature, Juvenile fiction', Conduct of life, Adventure and adventurers, British, Youth, Voyages and travels, Education, Enlightenment (Buddhism), Spies, Kindness, History, British and irish fiction (fictional works by one author), Fiction, action & adventure, India, fiction, Fiction, historical, Irish fiction, Adventure stories, English fiction, Large type books, Fiction, historical, general, English literature, Children's fiction, Adventure and adventurers, fiction, Literature, Kim (Kipling, Rudyard), India, Adventure fiction, Cartoons and caricatures, Beggars, Orphans -- Fiction, India -- Fiction, Boys -- Fiction, Spy stories, Lamas -- Fiction, Irish -- India -- Fiction, Fiction, general, Juvenile literature, Llamas, Long Now Manual for Civilization",Rudyard Kipling (1865-1936),India,"19th century, British occupation, 1765-1947","dan, eng, ger, chi, ita, spa, fre, por, pol, heb",,284.0,,,18,3.7222222222222223
The blue castle,Lucy Maud Montgomery,1926.0,294,"Juvenile fiction, Friendship, Self-actualization (Psychology), Choice, History, Single women, Fiction, Romance fiction, Fiction, historical, general, Fiction, general, Fiction, romance, general",,"Prince Edward Island, Canada",1914-1945,"fre, eng, chi",Luxi M Menggemali zuo pin ji -- 21,238.0,A. L. Burt Company,,21,3.761904761904762
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900.0,591,"Classic Literature, Adventure and adventurers, Open Library Staff Picks, Juvenile fiction, British, Fiction, Text-books for foreigners, English language, Historical Fiction, Sir Blakeney, Percy (Fictitious character), Refugees, Nobility, History, France, history, revolution, 1789-1799, fiction, France, fiction, Blakeney, percy, sir (fictitious character), fiction, Continental european fiction (fictional works by one author), Great britain, fiction, Children's fiction, France, history, fiction, Adventure and adventurers, fiction, Large type books, Adventure fiction, France, 1789-1799, Revolution, Fiction, historical, Fiction, historical, general, Fiction, action & adventure, England, fiction, Fiction, general, Adventure, Childrens fiction, Romans, nouvelles, Histoire, Britanniques, English language, textbooks for foreign speakers, Readers, Revolution (France : 1789-1799) fast (OCoLC)fst01354514, Long Now Manual for Civilization",Sir Percy Blakeney,"France, Great Britain, Paris","Revolution, 1789-1799, French Revolution, The French Revolution 1789-99","eng, chi, spa, sun, fre, pol",Collection Nelson,370.0,T. Nelson and Sons,Paris,21,4.095238095238095
The Awakening,Kate Chopin,1899.0,346,"Adultery, American literature, Classic Literature, Criticism and interpretation, feminist fiction, feminist literature, Fiction, History, Interpersonal attraction, Interpersonal relations, literary fiction, Louisiana Creoles, Man-woman relationships, manners and customs, Marriage, Married people, Married women, Modern Literature, Psychological fiction, Psychology, Romance fiction, Self-actualization (Psychology), Short Stories, Social conditions, Social life and customs, Women, American fiction (fictional works by one author), Married people, fiction, New Orleans (la.), fiction, Fiction, psychological, Louisiana, fiction, Femmes, Romans, nouvelles","Kate Chopin (1851-1904), Kate Chopin (1850-1904), Edna Pontellier, Léonce Pontellier, Etienne Pontellier, Raoul Pontellier, Madame Aline Lebrun, Robert Lebrun, Victor Lebrun, Mariequita, Adèle Ratignolle, Alphonse Ratignolle, Mademoiselle Reisz, Farival twins, Monsieur Farival, Beaudelet, Madame Antoine, Toni Antoine, Old Celestine, Ellen Joe, Doctor Mandelet, Alcée Arobin, Mrs. Highcamp, James Highcamp, Mrs. Merriman, Miss Mayblunt, Gouvernail, Madame Pontellier","New Orleans (La.), Louisiana, New Orleans, Grand Isle, Chênière Caminada, Gulf of Mexico, Mexico, New York City","The end of the 19th century, 19th century","eng, ger, spa, fre, pol, cat",A Norton critical edition,184.0,H.S. Stone & Co.,Chicago,36,3.6666666666666665
Lord Jim,Joseph Conrad,1900.0,345,"Fiction, British, Officers, Merchant marine, Atonement, Cowardice, Fiction in English, Travel, Indonesia, Seafaring life, Conrad, Joseph, 1857-1924. Lord Jim, English Psychological fiction, English Adventure stories, In literature, Literature, Classic Literature, NOVELAS INGLESAS, LITERARY CRITICISM / European / English, Irish, Scottish, Welsh, Biography, Criticism and interpretation, Reading Level-Grade 11, Reading Level-Grade 12, British and irish fiction (fictional works by one author), Indonesia, fiction, Fiction, psychological, Children's fiction, Sea stories, Cultural policy, Congresses, Large type books, New York Times reviewed, Readers, Adventure stories, English Sea stories, Sailors, Europeans in Southeast Asia, Self-fulfillment in men, Fiction, sea stories, High interest-low vocabulary books, Readers for new literates, Literatura, Psychological fiction, Dictionaries, English language, French, German, Korean, Spanish, Expiación, Vida marinera, Británicos, Ficción psicológica, Marina mercante, Ficción, Oficiales, Atonement -- Fiction, Merchant marine -- Officers -- Fiction, British -- Indonesia -- Fiction, Cowardice -- Fiction, Indonesia -- Fiction, Officiers de la marine marchande, Romans, nouvelles, Britanniques, Lâcheté, Livres en gros caractères, Large print books, LITERARY CRITICISM, European, English, Irish, Scottish, Welsh, English language, textbooks for foreign speakers, Long Now Manual for Civilization",Joseph Conrad (1857-1924),"Dutch East Indies, Indonesia",19th century,"chi, pol, fre, ger, eng, spa, und",The Modern library of the world's best books,358.0,William Blackwood and Sons,Edinburgh,14,3.7857142857142856
Flatland,Edwin Abbott Abbott,1884.0,565,"Fourth dimension, Fiction, general, Open Library Staff Picks, Denkbeeldige landen, Film and video adaptations, Meetkunde, Science Fiction, Geometry, Film adaptations, Fiction, Imaginary places, Historical Fiction, Mathematics, Classic Literature, Specimens, Dimension 4., Reading Level-Grade 11, Reading Level-Grade 12, Large type books, English Science fiction, Wit and Humor as Topic, Long Now Manual for Civilization, Readers (Secondary), Examinations, SAT (Educational test), Vocabulary tests, Study guides, English language, Fiction, action & adventure, Fiction, humorous, general, Fiction, fantasy, general, England, fiction, Spirituality, Spiritual life, Sphere, Expanding universe, Drama, Utopias, Fiction, science fiction, general, homeschool curriculum, learn math, Physics, Fiction & literature classics, World literature, Fiction subjects, Science fiction & fantasy",A. Square,"Flatland, Spaceland",,"heb, epo, spa, ita, per, por, eng, ger, fre",Madaʾ bidyoni(Keter),102.0,seely & co.,London,98,3.9081632653061225
Shirley,Charlotte Brontë,1800.0,536,"England, fiction, British and irish fiction (fictional works by one author), Fiction, historical, general, Napoleonic wars, 1800-1815, fiction, Fiction, historical, Textile industry, Fiction, Napoleonic Wars, 1800-1815, Women, Historical fiction, Yorkshire (England) -- Fiction, Women -- England -- Fiction, Textile industry -- Fiction, Napoleonic Wars, 1800-1815 -- Fiction, Social life and customs, Long Now Manual for Civilization, collection:Name",,,,"eng, spa, por, ita, und, rus, fre, ger",Everyman's library,592.0,,,8,4.125
The Martian Chronicles,Ray Bradbury,1950.0,138,"American Science fiction, Ciencia-ficción, Drama, English Language Short stories, Ficción, Fiction, Interplanetary voyages, Translations into Russian, Bibliography, Science fiction, Fiction, science fiction, general, Space colonies, Long Now Manual for Civilization, Ameerika",Ray Bradbury (1920-),"Mars (Planet), Marte (Planeta)",,"spa, ita, und, por, chi, rus, eng, ger, fre",Oscar Moderni Cult,262.0,BANTAM BOOKS,"Garden City, NY",105,4.085714285714285
Of Human Bondage,William Somerset Maugham,1915.0,407,"People with disabilities, fiction, Orphans, fiction, Physically handicapped, fiction, Bildungsromans, British and Irish fiction (fictional works by one author), Physicians, fiction, Artists, fiction, Coming of age, fiction, England, fiction, Literature, Medical fiction, Artists,  fiction, English literature, English fiction, Classic Literature, Large type books, People with disabilities, Fiction, Physicians, Orphans, Artists, Personnes handicapées, Romans, nouvelles, Médecins, Artistes",Philip Carey,England,1900's,"spa, jpn, vie, chi, rus, eng, ger",Collectible classics,420.0,"The Modern Library, New York",,11,4.181818181818182
My Ántonia,Willa Cather,1918.0,258,"Literature, Frontier and pioneer life, Czech Americans, Married women, Friendship, Women immigrants, Fiction, Farmers' spouses, Women pioneers, Classic Literature, Farm life, Love stories, My Ántonia (Cather, Willa), Farmers' spouse, Romans, Vie des pionniers, Women, American fiction (fictional works by one author), Nebraska, fiction, Married people, fiction, Fiction, westerns, Friendship, fiction, Czechoslovakian Americans, Junge Frau, Siedler, Friendship in children, Immigrants, History, Fiction, historical, general, Fiction, family life, Fiction, family life, general, Fictional Works Publication Type, Nebraska -- Fiction, Frontier and pioneer life -- Nebraska -- Fiction, Western stories, Domestic fiction, Friendship -- Fiction, Married women -- Fiction, Farm life -- Fiction, Women pioneers -- Fiction, Women immigrants -- Fiction, Farmers’ spouses -- Fiction, Czech Americans -- Fiction, Frontier and pioneer life, fiction, Reading Level-Grade 11, Reading Level-Grade 12, Large type books, Fiction, historical, Fiction, general, Iowa, fiction, Fiction, sagas, Juvenile literature, Pioneers, American literature, Study and teaching (Secondary), Pionniers, Ouvrages pour la jeunesse, Immigrantes, Romans, nouvelles, Agriculteurs, Conjoints, Américains d'origine tchèque, Pionnières, Femmes mariées, Vie à la ferme, Classics, Children's fiction, Frontier and pioneer life--fiction, Farmers' spouses--fiction, Women pioneers--fiction, Farm life--fiction, Women immigrants--fiction, Czech americans--fiction, Married women--fiction, Ps3505.a87 m8 2003b, 813/.52, Long Now Manual for Civilization, Italian language, Etymology, Names, Suffixes and prefixes, Geographical Names, Linguistic geography, American Novelists, Czechs, Immigrants in literature, In literature, Americanization, Biography",,Nebraska,,"rus, eng, ger, chi, ita, spa, fre, cze",Oxford world's classics,272.0,Houghton Mifflin Co.,Boston,18,3.8333333333333335
The Sign of Four,Arthur Conan Doyle,1889.0,961,"Crime & Mystery, classic fiction, Andamanese, arrow poisons, bloguns, convicts, crime & mystery fiction, crocodiles, Detective and mystery fiction, Fiction, Fiction Classics, Indian Rebellion of 1857, launches, Literary Fiction, Mystery & Suspense, Mystery fiction, novel, private investigators, substance abuse, tea plantations, treasure, waylaying, British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional, Holmes, sherlock (fictitious character), fiction, England, fiction, Watson, john h. (fictitious character), fiction, Private investigators, fiction, Fiction, mystery & detective, general, Fiction, crime, Texts, Shorthand, English Detective and mystery stories, Novelas inglesas, Children's fiction, Mystery and detective stories, English literature, John H. Watson (Fictitious character), Large type books, Sherlock Holmes (Fictitious character), Detectives privados, Novela, English language, textbooks for foreign speakers, Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Detective and mystery stories, Translations into German, John H Watson, Détectives, Romans, nouvelles, Fiction, action & adventure, Long Now Manual for Civilization, Juvenile fiction","Sherlock Holmes, John H. Watson, Mary Morstan, John Sholto, Jonathan Small, Mahomet Singh, Abdullah Khan, Dost Akbar, Toby, Tonga, Rajah, Mr. Sherman, Baker Street Irregulars, Bartholomew, Thaddeus Sholto, Captain Morstan, John H. Watson (Fictitious character)","England, Inglaterra, India, Langham Hotel, London, Agra Fort, Buffs, Andaman Islands, Dartmoor Prison, Angleterre","1888, 1857, December 1878, 1882","mul, dut, spa, jpn, ita, srp, cat, fin, chi, por, eng, ger, fre",,142.0,,,75,4.133333333333334
Persuasion,Jane Austen,1789.0,1235,"Fiction, Romance, Historical, Regency, Love stories, English, Moški in ženske, V leposlovju, Medosebni odnosi, Družbene razmere, Social life and customs, Rejection (Psychology), Officers, Great Britain. Royal Navy, Great Britain, Manners and customs, Armed Forces, fiction, British and irish fiction (fictional works by one author), Man-woman relationships, fiction, England, fiction, Great Britain, fiction, Austen, jane, 1775-1817, Fiction, psychological, English literature, Manuscripts, English Manuscripts, Facsimiles, Gentry, Mate selection, fiction, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Literature and fiction (general), Fiction, sagas, Literature, England -- Social life and customs -- 19th century -- Fiction, Psychological fiction, Young women, fiction, Motherless families, fiction, Rejection (Psychology), fiction, First loves, fiction, Dysfunctional families, fiction, Ship captains,  fiction, Jeunes femmes, Romans, nouvelles, Mœurs et coutumes, Sisters, Sœurs, Relations entre hommes et femmes, Stinehour press. 1977, Social classes, Courtship, fiction, Fiction, romance, general, Fiction, general, Austen, jane , 1775-1817, Elliot, anne , 1787-, Rejection (psychology)--fiction, First loves--fiction, Young women--england--fiction, Pr4034 .p4 2008, 823/.7, Pr4034 .p4 1998b, Fiction, historical, general, Psychology, Fiction, Courtship, Motherless families, Dysfunctional families, Ship captains, First loves, Young women, Long Now Manual for Civilization, General, LITERARY CRITICISM, Man-woman relationships","Anne Elliot, Captain Frederick Wentworth",England,Regency Era,"pol, spa, cat, ita, vie, und, por, chi, rus, eng, ger, tur, fre","Nineteenth Century Collections Online: European Literature, the Corvey Collection, 1790-1840",245.0,,,46,4.173913043478261
